//Key	Language	Translation	creation date yyyymmdd
x		 	date20030101
x	 	 	date20030101
x	 	 	date20030101
x	 		date20030101
x	 		date20030101
x	 		date20030101
// language dependent gui-texts in gs shopbuilder			date20030101
// Lines begining with //, { or x are comments (please do not translate)			date20030101
// Lines begining with L_ contain language dependent texts			date20030101
// (please do not translate first column)			date20030101
// second column contains a language code (e.g. deu eng enu fra spa ita pol trk kli)			date20030101
// the third column has to be translated			date20030101
// new texts are append to the end of the file			date20030101
// please follow the chronology of the texts !			date20030101
//			date20030101
			date20030201
			date20030216
			date20030216
L_mainMenuEdit                                 	deu	Bearbeiten	date20030216
L_mainMenuEdit                                 	eng	Edit	date20030216
L_mainMenuEdit                                 	trk	Düzen	date20030216
L_mainMenuEdit                                 	spa	Editar	date20030216
L_mainMenuFile                                 	deu	Datei	date20030216
L_mainMenuFile                                 	eng	File	date20030216
L_mainMenuFile                                 	trk	Dosya	date20030216
L_mainMenuFile                                 	spa	Archivo	date20030216
L_mainMenuHelp                                	deu	Hilfe	date20030216
L_mainMenuHelp                                	eng	Help	date20030216
L_mainMenuHelp                                	trk	Yardým	date20030216
L_mainMenuHelp                                	spa	Ayuda	date20030216
L_mainMenuImage                                	deu	Bild	date20030216
L_mainMenuImage                                	eng	Image	date20030216
L_mainMenuImage                                	trk	Resim	date20030216
L_mainMenuImage                                	spa	Imagen	date20030216
L_mainMenuLinks                                	deu	Links	date20030216
L_mainMenuLinks                                	eng	Links	date20030216
L_mainMenuLinks                                	trk	Linkler	date20030216
L_mainMenuLinks                                	spa	Links	date20030216
L_mainMenuView                               	deu	Ansicht	date20030216
L_mainMenuView                               	eng	View	date20030216
L_mainMenuView                               	trk	Görünüm	date20030216
L_mainMenuView                               	spa	Ver	date20030216
			date20030216
			date20030216
			date20030216
			date20030216
// following texts are newer than 18feb2003			date20030218
L_CatalogueFormAttributPopUpAttributlistenpflegen1Caption	deu	Attributlisten bearbeiten...	date20030218
L_CatalogueFormAttributPopUpAttributlistenpflegen1Caption	eng	Process lists of attributes...	date20030218
L_CatalogueFormAttributPopUpAttributlistenpflegen1Caption	plk	Attributlisten bearbeiten...	date20030218
L_CatalogueFormAttributPopUpAttributlistenpflegen1Caption	spa	Editar listas de atributos...	date20030218
L_CatalogueFormBrowseDirectoryDlg1Caption	deu	Verzeichnis auswählen	date20030218
L_CatalogueFormBrowseDirectoryDlg1Caption	eng	Select directory	date20030218
L_CatalogueFormBrowseDirectoryDlg1Caption	trk	 Klasör seçimi	date20030218
L_CatalogueFormBrowseDirectoryDlg1Caption	spa	Seleccionar directorio	date20030218
L_CatalogueFormBrowseDirectoryDlgDataBackupAsPacCaption	deu	Datensicherungsverzeichnis	date20030218
L_CatalogueFormBrowseDirectoryDlgDataBackupAsPacCaption	eng	Data backup directory	date20030218
L_CatalogueFormBrowseDirectoryDlgDataBackupAsPacCaption	trk	Veri saklama klasörü	date20030218
L_CatalogueFormBrowseDirectoryDlgDataBackupAsPacCaption	spa	Directorio de copias de seguridad 	date20030218
L_CatalogueFormBrowseDirectoryDlgExportAsCsvCaption	deu	Verzeichnis der CSV-Dateien	date20030218
L_CatalogueFormBrowseDirectoryDlgExportAsCsvCaption	eng	Directory of CSV files	date20030218
L_CatalogueFormBrowseDirectoryDlgExportAsCsvCaption	trk	CSV-Dosyasý klasörü	date20030218
L_CatalogueFormBrowseDirectoryDlgExportAsCsvCaption	spa	Directorio de archivos CSV	date20030218
L_CatalogueFormBrowseDirectoryDlgExportAsTextCaption	deu	Verzeichnis der Textdateien	date20030218
L_CatalogueFormBrowseDirectoryDlgExportAsTextCaption	eng	Directory of text files	date20030218
L_CatalogueFormBrowseDirectoryDlgExportAsTextCaption	trk	Metin belgesi klasörü	date20030218
L_CatalogueFormBrowseDirectoryDlgExportAsTextCaption	spa	Directorio de archivos de texto	date20030218
L_CatalogueFormBrowseDirectoryDlgExportDataAsZipCaption	deu	Datensicherungsverzeichnis	date20030218
L_CatalogueFormBrowseDirectoryDlgExportDataAsZipCaption	eng	Data backup directory	date20030218
L_CatalogueFormBrowseDirectoryDlgExportDataAsZipCaption	trk	Veri saklama klasörü	date20030218
L_CatalogueFormBrowseDirectoryDlgExportDataAsZipCaption	spa	Directorio de copias de seguridad 	date20030218
L_CatalogueFormCaption	deu	GS ShopBuilder Standard	date20030218
L_CatalogueFormCaption	eng	GS ShopBuilder Standard	date20030218
L_CatalogueFormCaption	trk	GS ShopBuilder Standart	date20030218
L_CatalogueFormCaption	spa	GS ShopBuilder Standard	date20030218
L_CatalogueFormControlBar2ToolBar2Caption	deu	ToolBar2	date20030218
L_CatalogueFormControlBar2ToolBar2Caption	eng	ToolBar2	date20030218
L_CatalogueFormControlBar2ToolBar2Caption	trk	ToolBar2	date20030218
L_CatalogueFormControlBar2ToolBar2Caption	spa	ToolBar2	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3Caption	deu	ToolBar2	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3Caption	eng	ToolBar2	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3Caption	trk	ToolBar2	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3Caption	spa	ToolBar2	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton22Caption	deu	ToolButton22	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton22Caption	eng	ToolButton22	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton22Caption	trk	ToolButton22	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton22Caption	spa	ToolButton22	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton22Hint	deu	Warengruppe nach oben verschieben	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton22Hint	eng	Move category up	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton22Hint	trk	Kategoriyi yukarý kaydýr	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton22Hint	spa	Desplazar categoría arriba	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton23Caption	deu	ToolButton23	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton23Caption	eng	ToolButton23	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton23Caption	trk	ToolButton23	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton23Caption	spa	ToolButton23	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton23Hint	deu	Warengruppe nach unten verschieben	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton23Hint	eng	Move category down	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton23Hint	trk	Kategoriyi aþaðý kaydýr	date20030218
L_CatalogueFormControlBar2ToolBar2ToolBar3ToolButton23Hint	spa	Desplazar categoría abajo	date20030218
L_CatalogueFormControlBar2ToolBar7editBreakAfterPageHint	deu	Artikelbegrenzung	date20030218
L_CatalogueFormControlBar2ToolBar7editBreakAfterPageHint	eng	Item limitation	date20030218
L_CatalogueFormControlBar2ToolBar7editBreakAfterPageHint	trk	Ürün sýnýrlama	date20030218
L_CatalogueFormControlBar2ToolBar7editBreakAfterPageHint	spa	Limitación de artículos 	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1Caption	deu	ToolBar1	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1Caption	eng	ToolBar1	date20030218
L_CatalogueFormControlBar2ToolBar7ToolBar1Caption	trk	ToolBar1	date20030218
