CREATE TABLE IF NOT EXISTS {dsbxx_}order 
 (
	ordIdNo int(11) unsigned NOT NULL auto_increment,
	ordId varchar(20) {gssb_charset} default '0',
	ordDate varchar(14) {gssb_charset} NOT NULL default '',
	ordSendCode varchar(20) {gssb_charset} default NULL,
	ordCusIdNo int(11) default NULL,
	ordCustomerId varchar(32) {gssb_charset} default NULL,
	ordFirmname varchar(255) {gssb_charset} default NULL,
	ordFirmVATId varchar(32) {gssb_charset} default NULL,
	ordTitle varchar(20) {gssb_charset} default NULL,
	ordFirstName varchar(255) {gssb_charset} default NULL,
	ordLastName varchar(255) {gssb_charset} default NULL,
	ordStreet varchar(255) {gssb_charset} NOT NULL default '',
	ordStreet2 varchar(255) {gssb_charset} default NULL,
	ordZipCode varchar(16) {gssb_charset} NOT NULL default '',
	ordCity varchar(255) {gssb_charset} NOT NULL default '',
	ordCountry varchar(255) {gssb_charset} NOT NULL default '',
	ordPhone varchar(32) {gssb_charset} NOT NULL default '',
	ordFax varchar(32) {gssb_charset} default NULL,
	ordShippingID int(11) NULL DEFAULT NULL,
	ordShippingCond varchar(32) {gssb_charset} NOT NULL default '',
	ordShippingCost decimal(9,2) NOT NULL default '0.00',
	ordDiscount1Value decimal(9,2) default '0.00',
	ordDiscount1Prct decimal(5,2) default '0.00',
	ordDiscount2Value decimal(9,2) default '0.00',
	ordDiscount2Prct decimal(5,2) default '0.00',
	ordPaymentID int(11) NULL DEFAULT NULL,
	ordPaymentCond varchar(32) {gssb_charset} NOT NULL default '',
	ordPaymentCost decimal(9,2) default '0.00',
	ordDeliverFirmname varchar(255) {gssb_charset} default NULL,
	ordDeliverTitle varchar(20) {gssb_charset} default NULL,
	ordDeliverFirstName varchar(255) {gssb_charset} default NULL,
	ordDeliverLastName varchar(255) {gssb_charset} default NULL,
	ordDeliverStreet varchar(255) {gssb_charset} default NULL,
	ordDeliverStreet2 varchar(255) {gssb_charset} default NULL,
	ordDeliverCity varchar(255) {gssb_charset} default NULL,
	ordDeliverZipCode varchar(16) {gssb_charset} default NULL,
	ordDeliverCountry varchar(255) {gssb_charset} default NULL,
	ordEMail varchar(255) {gssb_charset} NOT NULL default '',
	ordVAT1Value decimal(9,2) default '0.00',
	ordVAT1Prct decimal(5,2) default '0.00',
	ordVAT2Value decimal(9,2) default '0.00',
	ordVAT2Prct decimal(5,2) default '0.00',
	ordVAT3Value decimal(9,2) default '0.00',
	ordVAT3Prct decimal(5,2) default '0.00',
	ordTotalValue decimal(9,2) default '0.00',
	ordTotalValueAfterDsc1 decimal(9,2) default '0.00',
	ordTotalValueAfterDsc2 decimal(9,2) default '0.00',
	ordCurrency char(3) {gssb_charset} NOT NULL default '',
	ordFlg char(3) {gssb_charset} default NULL,
	ordSLC char(3) {gssb_charset} default NULL,
	ordIP varchar(15) {gssb_charset} default NULL,
	ordChgTimestamp timestamp NOT NULL default CURRENT_TIMESTAMP on update CURRENT_TIMESTAMP,
	ordChgUserIdNo int(11) NOT NULL default '0',
	ordChgApplicId varchar(255) {gssb_charset} NOT NULL default '',
	ordChgHistoryFlg char(1) {gssb_charset} NOT NULL default 'N',
	ordMobil varchar(32) {gssb_charset} default NULL,
	ordBirthdate date,
	AnmerkungenBestellung text {gssb_charset},
	verarb_status int(4) default 1,	
	ordInvoiceDate date NOT NULL default '0000-00-00',
	ordInvoiceNumber varchar(20) {gssb_charset} NOT NULL default '',
	ordInvSendDate timestamp NOT NULL default '0000-00-00 00:00:00',
	ordPaymentMode INT(11) NOT NULL DEFAULT '1',
	PRIMARY KEY  (`ordIdNo`)
 ) {gssb_charset};
