//Key	Language	Translation	creation date yyyymmdd
//  GS ShopBuilder, Copyright (c) 2004 by GS Software AG, Dortmund (www.gs-shopbuilder.com) - Do not remove this copyright notice!		GS ShopBuilder version 3.0.0.3	data20020101
// ©2003 GS ShopBuilder - Droits de traduction réservés pour tous les pays. 			date20020101
// ©2003 GS ShopBuilder - All Rights Reserved.		All translations rights reserved.	date20020101
// ©2003 GS ShopBuilder - Todos los Derechos quedan reservados. 	 	Todas los derechos de traducción reservados.	date20020101
// ©2003 GS ShopBuilder - Alle Rechte vorbehalten.	 	Alle Übersetzungsrechte vorbehalten.	date20020101
// ©2003 GS ShopBuilder - Alle Rechten Voorbehouden. 	 		date20020101
// ©2003 GS ShopBuilder - Med ensamrätt.	 	 	date20020101	sv
// ©2003 GS ShopBuilder - Tutti i Diritti Riservati. 	 	Tutti i diritti di traduzione riservati.	date20020101
// ©2003 GS ShopBuilder - Todos os Direitos Reservados.	 	Todas os direitos de tradução reservados.	date20020101
// ©2003 GS ShopBuilder - Med eneret.	 	 	date20020101	dk
L_mainMenuFile	deu	Datei	date20030216
L_mainMenuFile	esp	Archivo	date20030216
L_mainMenuEdit	deu	Bearbeiten	date20030216
L_mainMenuEdit	esp	Editar	date20030216
L_mainMenuView	deu	Ansicht	date20030216
L_mainMenuView	esp	Vista	date20030216
L_mainMenuImage	deu	Bild	date20030216
L_mainMenuImage	esp	Imagen	date20030216
L_mainMenuLinks	deu	Links	date20030216
L_mainMenuLinks	esp	Enlaces	date20030216
L_mainMenuHelp	deu	Hilfe	date20030216
L_mainMenuHelp	esp	Ayuda	date20030216
L_CatalogueFormAttributPopUpAttributlistenpflegen1Caption	deu	Attributlisten bearbeiten...	date20030218
L_CatalogueFormAttributPopUpAttributlistenpflegen1Caption	esp	Editar listas de atributos...	date20030218
L_CatalogueFormBrowseDirectoryDlg1Caption	deu	Verzeichnis auswählen	date20030218
L_CatalogueFormBrowseDirectoryDlg1Caption	esp	Seleccione Directorio	date20030218
L_CatalogueFormBrowseDirectoryDlgDataBackupAsPacCaption	deu	Datensicherungsverzeichnis	date20030218
L_CatalogueFormBrowseDirectoryDlgDataBackupAsPacCaption	esp	Directorio de copia de seguridad	date20030218
L_CatalogueFormBrowseDirectoryDlgExportAsCsvCaption	deu	Verzeichnis der CSV-Dateien	date20030218
L_CatalogueFormBrowseDirectoryDlgExportAsCsvCaption	esp	Directorio de archivos CSV	date20030218
L_CatalogueFormBrowseDirectoryDlgExportAsTextCaption	deu	Verzeichnis der Textdateien	date20030218
